shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1503_shp,38.048389999999998,-84.536289999999994,51418,24568.206268999998
1503_shp,38.048819999999999,-84.532660000000007,51419,25625.215133000002
1503_shp,38.048819999999999,-84.532660000000007,51420,25625.215133000002
1503_shp,38.049199999999999,-84.529259999999994,51421,26614.051995999998
1503_shp,38.049199999999999,-84.529259999999994,51422,26614.051995999998
1503_shp,38.049729999999997,-84.524029999999996,51423,28132.454846000001
1503_shp,38.049729999999997,-84.524029999999996,51424,28132.454846000001
1503_shp,38.049900000000001,-84.521709999999999,51425,28803.405605
1503_shp,38.049900000000001,-84.521709999999999,51426,28803.405605
1503_shp,38.050139999999999,-84.515429999999995,51427,30613.957893999999
1503_shp,38.050139999999999,-84.515429999999995,51428,30613.957893999999
1503_shp,38.050350000000002,-84.514089999999996,51429,31007.339415999999
1503_shp,38.050579999999997,-84.510540000000006,51430,32033.046557000001
1503_shp,38.050579999999997,-84.510540000000006,51431,32033.046557000001
1503_shp,38.050579999999997,-84.509659999999997,51432,32286.456821
1503_shp,38.05039,-84.509190000000004,51433,32438.461804999999
1503_shp,38.049399999999999,-84.508020000000002,51434,32931.913357999998
1503_shp,38.049399999999999,-84.508020000000002,51435,32931.913357999998
1503_shp,38.047580000000004,-84.505989999999997,51436,33815.666782
1503_shp,38.047580000000004,-84.505989999999997,51437,33815.666782
1503_shp,38.045909999999999,-84.504130000000004,51438,34626.079001999999
1503_shp,38.04627,-84.503619999999998,51439,34822.950319000003
1503_shp,38.046379999999999,-84.503460000000004,51440,34884.005747000003
1503_shp,38.046379999999999,-84.503460000000004,51441,34884.005747000003
1503_shp,38.04815,-84.50094,51442,35854.636316999997
1503_shp,38.04815,-84.50094,51443,35854.636316999997
1503_shp,38.048299999999998,-84.500720000000001,51444,35938.288350000003
1503_shp,38.048020000000001,-84.500370000000004,51445,36081.662026999998
1503_shp,38.047199999999997,-84.499570000000006,51446,36458.818369000001
1503_shp,38.047199999999997,-84.499570000000006,51447,36458.818369000001
1503_shp,38.04569,-84.497990000000001,51448,37172.55042
1503_shp,38.044919999999998,-84.497429999999994,51449,37496.026473999998
1503_shp,38.043959999999998,-84.496369999999999,51450,37960.147399000001
1504_shp,38.074150000000003,-84.547139999999999,51451,0.0
1504_shp,38.073999999999998,-84.546930000000003,51452,81.477103
1504_shp,38.07403,-84.546700000000001,51453,148.58348100000001
1504_shp,38.077109999999998,-84.543080000000003,51454,1679.595108
1504_shp,38.077269999999999,-84.542770000000004,51455,1786.1703319999999
1504_shp,38.077269999999999,-84.542770000000004,51456,1786.1703319999999
1504_shp,38.077489999999997,-84.542190000000005,51457,1971.357115
1504_shp,38.077849999999998,-84.541759999999996,51458,2151.6586349999998
1504_shp,38.078870000000002,-84.540660000000003,51459,2639.7547770000001
1504_shp,38.078870000000002,-84.540660000000003,51460,2639.7547770000001
1504_shp,38.080579999999998,-84.538799999999995,51461,3461.0004990000002
1504_shp,38.080579999999998,-84.538799999999995,51462,3461.0004990000002
1504_shp,38.080710000000003,-84.538659999999993,51463,3523.1714310000002
1504_shp,38.080179999999999,-84.537750000000003,51464,3848.5423259999998
1504_shp,38.079610000000002,-84.536590000000004,51465,4241.7110169999996
1504_shp,38.077869999999997,-84.531670000000005,51466,5793.2516930000002
1504_shp,38.077869999999997,-84.531670000000005,51467,5793.2516930000002
1504_shp,38.075980000000001,-84.526229999999998,51468,7503.8066470000003
1504_shp,38.075980000000001,-84.526229999999998,51469,7503.8066470000003
1504_shp,38.075760000000002,-84.525090000000006,51470,7841.613155
1504_shp,38.075510000000001,-84.52176,51471,8804.5272509999995
1504_shp,38.075510000000001,-84.52176,51472,8804.5272509999995
1504_shp,38.075479999999999,-84.519630000000006,51473,9417.7846410000002
1504_shp,38.074689999999997,-84.511210000000005,51474,11858.665088
1504_shp,38.074689999999997,-84.511210000000005,51475,11858.665088
1504_shp,38.074649999999998,-84.509590000000003,51476,12325.244863
1504_shp,38.07488,-84.508870000000002,51477,12548.796276999999
1504_shp,38.075299999999999,-84.508240000000001,51478,12786.039733
1504_shp,38.075299999999999,-84.508240000000001,51479,12786.039733
1504_shp,38.075960000000002,-84.507599999999996,51480,13088.877587000001
1504_shp,38.076439999999998,-84.506649999999993,51481,13413.442244
1504_shp,38.076889999999999,-84.50685,51482,13587.13625
1504_shp,38.076889999999999,-84.50685,51483,13587.13625
1504_shp,38.077280000000002,-84.50703,51484,13738.317911
1504_shp,38.077620000000003,-84.507180000000005,51485,13869.447576
1504_shp,38.077599999999997,-84.506990000000002,51486,13924.623847000001
1504_shp,38.077970000000001,-84.505560000000003,51487,14357.754492
1504_shp,38.077970000000001,-84.505560000000003,51488,14357.754492
1504_shp,38.078589999999998,-84.503619999999998,51489,14960.114535000001
1504_shp,38.078690000000002,-84.502759999999995,51490,15210.335101000001
1504_shp,38.078589999999998,-84.502089999999995,51491,15406.606786
1504_shp,38.078400000000002,-84.501589999999993,51492,15566.302968
1504_shp,38.077930000000002,-84.500969999999995,51493,15813.583006000001
1504_shp,38.077930000000002,-84.500969999999995,51494,15813.583006000001
1504_shp,38.077179999999998,-84.500290000000007,51495,16149.608827
1504_shp,38.076900000000002,-84.499799999999993,51496,16323.657771
1504_shp,38.076779999999999,-84.499200000000002,51497,16501.818341999999
1504_shp,38.076830000000001,-84.498649999999998,51498,16661.186829999999
1504_shp,38.076830000000001,-84.498649999999998,51499,16661.186829999999
1504_shp,38.077010000000001,-84.49794,51500,16875.823955
1504_shp,38.077199999999998,-84.497529999999998,51501,17012.634169000001
1504_shp,38.077460000000002,-84.497209999999995,51502,17144.733433000001
1504_shp,38.077770000000001,-84.496960000000001,51503,17278.612061
1504_shp,38.079360000000001,-84.496129999999994,51504,17904.992891000002
1504_shp,38.079599999999999,-84.495779999999996,51505,18038.368394000001
1504_shp,38.079549999999998,-84.495590000000007,51506,18096.011756
1504_shp,38.079549999999998,-84.495590000000007,51507,18096.011756
1504_shp,38.079500000000003,-84.494879999999995,51508,18301.196739999999
1504_shp,38.079090000000001,-84.49333,51509,18771.689567000001
1504_shp,38.078110000000002,-84.493769999999998,51510,19150.381502
1504_shp,38.071390000000001,-84.496619999999993,51511,21731.444800000001
1504_shp,38.071390000000001,-84.496619999999993,51512,21731.444800000001
1504_shp,38.069629999999997,-84.49736,51513,22406.855040999999
1504_shp,38.069629999999997,-84.49736,51514,22406.855040999999
1504_shp,38.066380000000002,-84.498720000000006,51515,23653.47825
1504_shp,38.066380000000002,-84.498720000000006,51516,23653.47825
1504_shp,38.064369999999997,-84.499529999999993,51517,24421.703171000001
1504_shp,38.064369999999997,-84.499529999999993,51518,24421.703171000001
1504_shp,38.061190000000003,-84.500609999999995,51519,25620.770635000001
1504_shp,38.061190000000003,-84.500609999999995,51520,25620.770635000001
1504_shp,38.06118,-84.500609999999995,51521,25624.41229
1504_shp,38.060369999999999,-84.500870000000006,51522,25928.737461000001
1504_shp,38.060090000000002,-84.50094,51523,26032.676640000001
1504_shp,38.05838,-84.501499999999993,51524,26675.936018
1504_shp,38.057499999999997,-84.501909999999995,51525,27017.454566
1504_shp,38.057110000000002,-84.50224,51526,27188.333971
1504_shp,38.05641,-84.503200000000007,51527,27564.355758000002
1504_shp,38.05641,-84.503200000000007,51528,27564.355758000002
1504_shp,38.055590000000002,-84.504329999999996,51529,28005.991236999998
1504_shp,38.05415,-84.505750000000006,51530,28670.959265000001
1504_shp,38.05377,-84.505319999999998,51531,28856.650165999999
1504_shp,38.05377,-84.505319999999998,51532,28856.650165999999
1504_shp,38.051369999999999,-84.50264,51533,30022.597711999999
1504_shp,38.051369999999999,-84.50264,51534,30022.597711999999
1504_shp,38.050080000000001,-84.501170000000002,51535,30654.956183999999
1504_shp,38.049610000000001,-84.500950000000003,51536,30837.462339999998
1504_shp,38.048749999999998,-84.501019999999997,51537,31151.29207
1504_shp,38.048299999999998,-84.500720000000001,51538,31336.544191000001
1504_shp,38.048020000000001,-84.500370000000004,51539,31479.917868
1504_shp,38.047199999999997,-84.499570000000006,51540,31857.074210999999
1504_shp,38.047199999999997,-84.499570000000006,51541,31857.074210999999
1504_shp,38.04569,-84.497990000000001,51542,32570.806261000002
1504_shp,38.044919999999998,-84.497429999999994,51543,32894.282314999997
1504_shp,38.043959999999998,-84.496369999999999,51544,33358.40324
1506_shp,38.091729999999998,-84.479979999999998,51545,0.0
1506_shp,38.091630000000002,-84.480080000000001,51546,46.416555000000002
1506_shp,38.091149999999999,-84.479219999999998,51547,349.43145600000003
1506_shp,38.090069999999997,-84.477239999999995,51548,1041.8393160000001
1506_shp,38.089570000000002,-84.47681,51549,1262.000213
1506_shp,38.089570000000002,-84.47681,51550,1262.000213
1506_shp,38.089419999999997,-84.476740000000007,51551,1320.222199
1506_shp,38.089469999999999,-84.47627,51552,1456.7146949999999
1506_shp,38.089410000000001,-84.475369999999998,51553,1716.6671309999999
1506_shp,38.089230000000001,-84.474770000000007,51554,1901.3781959999999
1506_shp,38.087989999999998,-84.47269,51555,2651.2491559999999
1506_shp,38.087989999999998,-84.47269,51556,2651.2491559999999
1506_shp,38.087260000000001,-84.471310000000003,51557,3129.1971189999999
1506_shp,38.086399999999998,-84.468689999999995,51558,3945.7445429999998
1506_shp,38.086399999999998,-84.468689999999995,51559,3945.7445429999998
1506_shp,38.086320000000001,-84.468429999999998,51560,4026.0501690000001
1506_shp,38.086129999999997,-84.46754,51561,4291.3958110000003
1506_shp,38.085369999999998,-84.467920000000007,51562,4588.9907860000003
1506_shp,38.084650000000003,-84.468209999999999,51563,4864.1568559999996
1506_shp,38.084650000000003,-84.468209999999999,51564,4864.1568559999996
1506_shp,38.083759999999998,-84.468590000000006,51565,5206.2236510000002
1506_shp,38.081389999999999,-84.469890000000007,51566,6146.9252230000002
1506_shp,38.081389999999999,-84.469890000000007,51567,6146.9252230000002
1506_shp,38.07929,-84.470659999999995,51568,6943.1467249999996
1506_shp,38.078060000000001,-84.471580000000003,51569,7463.5027120000004
1506_shp,38.078060000000001,-84.471580000000003,51570,7463.5027120000004
1506_shp,38.076009999999997,-84.473219999999998,51571,8346.7903709999991
1506_shp,38.076569999999997,-84.474119999999999,51572,8676.5033210000001
1506_shp,38.077010000000001,-84.474670000000003,51573,8901.7619969999996
1506_shp,38.077190000000002,-84.474909999999994,51574,8996.9975149999991
1506_shp,38.077190000000002,-84.474909999999994,51575,8996.9975149999991
1506_shp,38.078870000000002,-84.477209999999999,51576,9898.4641360000005
1506_shp,38.078870000000002,-84.477209999999999,51577,9898.4641360000005
1506_shp,38.080109999999998,-84.478890000000007,51578,10560.109419
1506_shp,38.079619999999998,-84.47954,51579,10818.661384999999
1506_shp,38.079619999999998,-84.47954,51580,10818.661384999999
1506_shp,38.077829999999999,-84.482069999999993,51581,11796.058026000001
1506_shp,38.077829999999999,-84.482069999999993,51582,11796.058026000001
1506_shp,38.077710000000003,-84.482259999999997,51583,11866.065519
1506_shp,38.077399999999997,-84.481679999999997,51584,12067.609197
1506_shp,38.075600000000001,-84.479150000000004,51585,13047.454576
1506_shp,38.075600000000001,-84.479150000000004,51586,13047.454576
1506_shp,38.075339999999997,-84.478809999999996,51587,13183.632777000001
1506_shp,38.074959999999997,-84.478309999999993,51588,13383.300466999999
1506_shp,38.07358,-84.476420000000005,51589,14123.962172
1506_shp,38.07358,-84.476420000000005,51590,14123.962172
1506_shp,38.072679999999998,-84.475189999999998,51591,14606.455018000001
1506_shp,38.072679999999998,-84.475189999999998,51592,14606.455018000001
1506_shp,38.072609999999997,-84.475099999999998,51593,14642.802078000001
1506_shp,38.072420000000001,-84.475239999999999,51594,14722.875948000001
1506_shp,38.071420000000003,-84.476179999999999,51595,15176.579098
